City,Country_code,Lat,Lng,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Preassure,Sea Level (ft)
saint-joseph,re,-22.166645573066276,-22.166645573066276,77.85,74.0,0.0,13.8,1017.0,
pudozh,ru,62.47831117332575,62.47831117332575,33.33,64.0,98.0,4.74,1008.0,1008.0
paita,pe,-8.896781005775694,-8.896781005775694,69.66,78.0,94.0,9.42,1013.0,1013.0
straumen,no,66.8945227800603,66.8945227800603,35.91,86.0,40.0,6.91,1016.0,
promyshlennaya,ru,55.03994555109597,55.03994555109597,48.2,100.0,90.0,13.42,1004.0,
duderstadt,de,51.44102682843851,51.44102682843851,43.36,52.0,5.0,4.27,1008.0,
cockburn town,tc,25.055606920452462,25.055606920452462,78.17,73.0,67.0,19.93,1015.0,1015.0
mangrol,in,16.015837260201124,16.015837260201124,88.72,50.0,0.0,10.13,1012.0,1012.0
kihei,us,19.074772837600477,19.074772837600477,70.75,83.0,40.0,4.61,1015.0,
crown point,us,41.18113366352074,41.18113366352074,70.39,64.0,1.0,13.8,1008.0,
kuching,my,2.506114752480414,2.506114752480414,89.6,66.0,40.0,1.14,1010.0,
gaoual,gn,11.56933415994223,11.56933415994223,75.52,57.0,52.0,3.02,1009.0,1009.0
wanxian,cn,31.30948953211704,31.30948953211704,73.18,64.0,100.0,5.48,1020.0,1020.0
bilibino,ru,66.01204505288354,66.01204505288354,25.65,82.0,56.0,1.86,1020.0,1020.0
georgetown,sh,-13.242936096070252,-13.242936096070252,87.13,70.0,20.0,6.91,1010.0,
anuppur,in,22.954979762521134,22.954979762521134,103.1,4.0,1.0,6.76,1010.0,1010.0
darnah,ly,33.93764182123223,33.93764182123223,78.84,24.0,25.0,31.07,1011.0,1011.0
constitucion,mx,11.267906490782465,11.267906490782465,56.17,67.0,52.0,6.71,1017.0,1017.0
port blair,in,8.035358081544715,8.035358081544715,87.8,74.0,40.0,3.44,1011.0,
bibiani,gh,6.013284021442871,6.013284021442871,73.53,97.0,99.0,2.24,1009.0,1009.0
fukue,jp,32.41972727791952,32.41972727791952,64.4,100.0,75.0,8.05,1015.0,
rocha,uy,-42.87250115743128,-42.87250115743128,49.96,91.0,1.0,4.14,1019.0,1019.0
malvern,us,34.03545574427595,34.03545574427595,69.46,83.0,75.0,3.44,1013.0,
laguna,br,-42.33619333139856,-42.33619333139856,59.52,47.0,1.0,3.4,1018.0,
saint-augustin,ca,49.89424349058939,49.89424349058939,36.25,98.0,100.0,3.42,1007.0,1007.0
lodwar,ke,3.26258464514774,3.26258464514774,86.38,46.0,54.0,15.5,1010.0,1010.0
stephenville crossing,ca,48.11180729830366,48.11180729830366,40.35,75.0,90.0,12.66,1005.0,
noumea,nc,-24.35612481659929,-24.35612481659929,73.4,56.0,0.0,8.05,1014.0,
new glasgow,ca,44.598035091771465,44.598035091771465,38.59,93.0,100.0,8.05,1008.0,
zyryanka,ru,67.03694139336241,67.03694139336241,32.92,92.0,81.0,9.93,1015.0,1015.0
ponta delgada,pt,33.137923234421834,33.137923234421834,59.0,82.0,75.0,9.22,1018.0,
acajutla,sv,7.606789247236108,7.606789247236108,75.0,72.0,98.0,1.99,1014.0,
anadyr,ru,62.367540709145544,62.367540709145544,28.18,86.0,0.0,13.42,1018.0,
vila franca do campo,pt,35.976780517235795,35.976780517235795,59.0,82.0,75.0,9.22,1018.0,
ancud,cl,-40.8146083000017,-40.8146083000017,50.13,100.0,90.0,3.44,1017.0,
otavi,na,-20.063592194494504,-20.063592194494504,64.71,54.0,1.0,6.69,1014.0,1014.0
dicabisagan,ph,16.87523312727339,16.87523312727339,80.76,64.0,77.0,5.93,1013.0,1013.0
parana,br,-12.651353537634137,-12.651353537634137,56.68,91.0,0.0,5.44,1015.0,
kasongo-lunda,cd,-7.323953902880518,-7.323953902880518,71.37,96.0,100.0,0.65,1011.0,1011.0
vardo,no,79.30100069798075,79.30100069798075,26.6,74.0,20.0,11.5,1008.0,
spirit river,ca,55.59724496518194,55.59724496518194,16.39,92.0,100.0,5.75,1022.0,1022.0
klaksvik,fo,65.86359788044265,65.86359788044265,37.4,81.0,90.0,10.36,1020.0,
along,in,31.613322797958375,31.613322797958375,96.39,22.0,76.0,1.83,1011.0,1011.0
sur,om,17.476916619659036,17.476916619659036,94.64,29.0,99.0,5.21,1011.0,1011.0
piacabucu,br,-13.257027436862344,-13.257027436862344,75.63,91.0,46.0,5.17,1010.0,1010.0
sorong,id,0.030513793687475754,0.030513793687475754,82.8,77.0,72.0,5.95,1009.0,1009.0
tevaitoa,pf,-18.95516032373247,-18.95516032373247,81.61,71.0,74.0,12.06,1015.0,1015.0
sao jose da coroa grande,br,-13.744609393653803,-13.744609393653803,76.95,87.0,23.0,4.63,1010.0,1010.0
mayumba,ga,-6.837910430614244,-6.837910430614244,78.33,89.0,100.0,3.89,1009.0,1009.0
iqaluit,ca,65.07862660493967,65.07862660493967,19.4,86.0,90.0,4.61,1032.0,
sanandaj,ir,35.4089036681558,35.4089036681558,66.2,37.0,40.0,2.3,1018.0,
camopi,gf,3.0610426106756137,3.0610426106756137,70.32,99.0,100.0,1.72,1010.0,1010.0
rudnyy,ru,44.29633868508705,44.29633868508705,53.6,66.0,40.0,11.18,1014.0,
te anau,nz,-42.83081754076849,-42.83081754076849,47.23,93.0,100.0,2.01,1017.0,1017.0
sobolevo,ru,57.48224988633265,57.48224988633265,37.81,94.0,100.0,9.13,1016.0,1016.0
marystown,ca,45.999704920912166,45.999704920912166,39.88,95.0,76.0,13.27,1009.0,1009.0
avera,pf,-29.83378936143997,-29.83378936143997,64.6,94.0,1.0,5.75,1021.0,
flinders,au,-37.66314682580289,-37.66314682580289,69.33,66.0,87.0,1.99,1018.0,
namtsy,ru,64.60673049602423,64.60673049602423,30.2,51.0,40.0,6.71,1015.0,
victoria,sc,1.6368298497208684,1.6368298497208684,77.88,79.0,89.0,1.01,1013.0,
anahuac,mx,27.36258157648939,27.36258157648939,78.78,73.0,68.0,18.99,1006.0,1006.0
aklavik,ca,73.27248837435175,73.27248837435175,24.8,36.0,7.0,5.75,1020.0,
markova,ru,58.441397116808815,58.441397116808815,39.02,70.0,0.0,8.95,1016.0,
anaco,ve,9.58343804515178,9.58343804515178,76.28,71.0,100.0,10.18,1011.0,1011.0
pangnirtung,ca,60.71062855683377,60.71062855683377,15.75,68.0,4.0,8.03,1035.0,1035.0
praia da vitoria,pt,43.751407146557085,43.751407146557085,59.0,88.0,75.0,7.43,1019.0,
kargopol,ru,60.838420299312986,60.838420299312986,33.62,79.0,100.0,5.7,1007.0,1007.0
lagos,ng,6.12547482792246,6.12547482792246,75.2,94.0,40.0,6.91,1008.0,
auch,fr,43.45825704177267,43.45825704177267,53.71,94.0,100.0,8.05,1007.0,
aksarka,ru,68.50224812097073,68.50224812097073,29.77,88.0,97.0,9.93,1003.0,1003.0
tura,ru,65.95902157211938,65.95902157211938,98.01,22.0,1.0,6.29,1010.0,1010.0
ciudad bolivar,ve,7.05172065954757,7.05172065954757,79.45,69.0,94.0,8.43,1011.0,1011.0
carmaux,fr,44.084108950540866,44.084108950540866,57.0,98.0,100.0,1.99,1006.0,
kem,ru,65.12294515837246,65.12294515837246,33.98,59.0,73.0,2.59,1009.0,1009.0
inta,ru,66.49888797404586,66.49888797404586,29.28,91.0,100.0,6.78,1005.0,1005.0
general roca,ar,-39.3762325404323,-39.3762325404323,51.8,93.0,0.0,2.3,1016.0,
yar-sale,ru,77.59055376904229,77.59055376904229,28.89,92.0,100.0,13.24,1001.0,1001.0
san isidro,ph,6.00529337069915,6.00529337069915,62.89,94.0,90.0,6.91,1013.0,
araouane,ml,18.866796883029934,18.866796883029934,82.83,15.0,14.0,11.43,1007.0,1007.0
freeport,us,26.56636896880387,26.56636896880387,51.91,82.0,75.0,3.44,1013.0,
kulhudhuffushi,mv,6.746230405844869,6.746230405844869,84.38,72.0,53.0,5.61,1012.0,1012.0
north bend,us,43.99806142881255,43.99806142881255,45.88,93.0,1.0,3.89,1025.0,
berbera,so,10.408352993156385,10.408352993156385,87.28,65.0,57.0,3.6,1011.0,1011.0
mallow,ie,52.20116281468981,52.20116281468981,43.29,81.0,75.0,13.8,1011.0,
lasa,cn,35.60920168812457,35.60920168812457,44.35,100.0,90.0,3.44,1006.0,
abu kamal,sy,33.9430420740411,33.9430420740411,74.64,35.0,0.0,13.73,1014.0,1014.0
westport,ie,57.07062908098783,57.07062908098783,50.47,76.0,75.0,2.04,1013.0,
maintal,de,50.143483699339015,50.143483699339015,45.27,68.0,33.0,3.83,1007.0,
marang,my,6.16649572735183,6.16649572735183,87.42,74.0,20.0,4.61,1011.0,
moerai,pf,-21.291207608225548,-21.291207608225548,78.53,69.0,65.0,10.2,1017.0,1017.0
nioro,ml,15.228819299017673,15.228819299017673,72.93,38.0,53.0,6.78,1009.0,1009.0
mocorito,mx,25.52105155845142,25.52105155845142,62.51,75.0,0.0,0.34,1008.0,
moscow,ru,55.67590355848989,55.67590355848989,39.67,81.0,75.0,13.42,1011.0,
dunmore town,bs,26.705912064731365,26.705912064731365,75.07,69.0,86.0,14.18,1019.0,1019.0
monte patria,cl,-30.79529688374741,-30.79529688374741,61.03,73.0,0.0,0.81,1016.0,1016.0
prieska,za,-30.30712042616772,-30.30712042616772,57.69,55.0,82.0,4.16,1016.0,1016.0
naples,us,25.461283156185033,25.461283156185033,60.17,94.0,40.0,2.3,1008.0,
rosetta,eg,32.51087723843651,32.51087723843651,60.8,94.0,1.0,5.75,1016.0,
tilichiki,ru,58.899416681331076,58.899416681331076,30.16,85.0,100.0,7.49,1018.0,1018.0
omboue,ga,-2.4848166894772277,-2.4848166894772277,77.04,94.0,100.0,5.06,1009.0,1009.0
bungoma,ke,0.48572238847134486,0.48572238847134486,70.02,74.0,94.0,6.96,1013.0,1013.0
san cristobal,ec,-12.008140998831777,-12.008140998831777,65.5,97.0,99.0,2.13,1013.0,1013.0
samarai,pg,-14.498957976985139,-14.498957976985139,79.61,80.0,98.0,14.38,1010.0,1010.0
batagay-alyta,ru,65.55701113310977,65.55701113310977,24.44,71.0,25.0,4.45,1018.0,1018.0
karratha,au,-20.614910380874846,-20.614910380874846,92.46,19.0,0.0,8.34,1014.0,1014.0
suicheng,cn,21.416492993988328,21.416492993988328,71.38,35.0,100.0,8.14,1017.0,1017.0
sinnamary,gf,14.467502363365895,14.467502363365895,75.07,89.0,93.0,2.86,1010.0,1010.0
purpe,ru,64.6155115271174,64.6155115271174,32.9,99.0,100.0,15.03,999.0,999.0
viransehir,tr,36.24143802054046,36.24143802054046,73.08,31.0,0.0,8.05,1014.0,1014.0
sulangan,ph,11.139155531573138,11.139155531573138,81.23,72.0,97.0,11.77,1012.0,1012.0
kavaratti,in,9.334080263211675,9.334080263211675,84.31,71.0,5.0,3.58,1012.0,1012.0
padang,id,-5.273348326780749,-5.273348326780749,86.0,70.0,20.0,5.75,1010.0,
pundaguitan,ph,6.411642400045878,6.411642400045878,82.89,73.0,39.0,10.89,1010.0,1010.0
luancheng,cn,38.304821822822504,38.304821822822504,73.4,13.0,40.0,13.42,1012.0,
shihezi,cn,44.525039345552614,44.525039345552614,74.82,19.0,22.0,5.7,1018.0,1018.0
omsukchan,ru,63.22014195610575,63.22014195610575,30.09,73.0,0.0,3.94,1018.0,1018.0
mount isa,au,-23.569943702288768,-23.569943702288768,86.0,21.0,40.0,9.22,1015.0,
guerrero negro,mx,28.67888464140357,28.67888464140357,58.37,79.0,0.0,16.42,1015.0,1015.0
rexburg,us,43.99717473109814,43.99717473109814,45.09,61.0,1.0,8.05,1019.0,
asosa,et,11.22645490759264,11.22645490759264,74.84,47.0,97.0,2.46,1011.0,1011.0
manta,ec,-1.0830735885022165,-1.0830735885022165,75.2,83.0,90.0,4.61,1014.0,
caceres,br,-15.677311566953136,-15.677311566953136,52.0,90.0,7.0,4.0,1006.0,
la ronge,ca,61.85090408024777,61.85090408024777,17.6,57.0,100.0,3.44,1023.0,
sangmelima,cm,2.4125510466828217,2.4125510466828217,68.2,99.0,100.0,1.97,1011.0,1011.0
arlit,ne,22.38710303170781,22.38710303170781,86.85,10.0,0.0,8.14,1008.0,1008.0
portland,au,-53.75733641679953,-53.75733641679953,52.63,68.0,75.0,1.99,1023.0,
kamaishi,jp,36.35002840554323,36.35002840554323,66.2,39.0,75.0,4.61,1016.0,
tazovskiy,ru,66.8224643615996,66.8224643615996,32.16,99.0,100.0,5.35,998.0,998.0
bjornevatn,no,69.29871570000626,69.29871570000626,26.6,68.0,40.0,11.5,1009.0,
batemans bay,au,-37.656284743690314,-37.656284743690314,68.0,75.0,94.0,7.36,1021.0,
esqueda,mx,30.758069043617667,30.758069043617667,48.88,47.0,45.0,6.93,1011.0,1011.0
eslov,se,56.20947909622899,56.20947909622899,41.05,54.0,64.0,5.57,1014.0,
shache,cn,36.70269972060423,36.70269972060423,78.08,11.0,0.0,5.91,1018.0,1018.0
shimoda,jp,34.40000892782771,34.40000892782771,69.8,56.0,75.0,16.11,1019.0,
baghdad,iq,32.594484995509276,32.594484995509276,80.6,36.0,0.0,10.36,1013.0,
asau,tv,-9.149595747083211,-9.149595747083211,38.79,87.0,90.0,4.61,1019.0,
xiuyan,cn,39.872541568896395,39.872541568896395,64.22,20.0,0.0,16.84,1012.0,1012.0
nemuro,jp,36.671712667857165,36.671712667857165,59.0,29.0,0.0,6.91,1014.0,
bose,cn,23.793813541600926,23.793813541600926,49.96,96.0,100.0,1.01,1009.0,
lira,ug,2.3961630502528237,2.3961630502528237,70.9,82.0,85.0,3.47,1012.0,1012.0
anuradhapura,lk,8.22454474780487,8.22454474780487,92.82,50.0,72.0,6.69,1011.0,1011.0
hami,cn,44.39327003050417,44.39327003050417,72.28,10.0,50.0,9.01,1018.0,1018.0
lannion,fr,49.54320480912642,49.54320480912642,46.81,87.0,20.0,6.91,1005.0,
biak,id,0.8446545965508818,0.8446545965508818,84.29,62.0,39.0,2.84,1010.0,1010.0
coquimbo,cl,-30.45300026546777,-30.45300026546777,51.8,87.0,0.0,8.05,1017.0,
west wendover,us,41.418710598280995,41.418710598280995,48.2,43.0,1.0,4.61,1020.0,
vanino,ru,49.339241015042745,49.339241015042745,39.81,94.0,100.0,6.98,1009.0,1009.0
la peca,pe,-4.786414879186609,-4.786414879186609,67.19,96.0,100.0,1.5,1015.0,1015.0
arroyo,us,16.753894846781108,16.753894846781108,48.49,93.0,40.0,5.75,1006.0,
alyangula,au,-16.29870956102195,-16.29870956102195,87.8,84.0,75.0,9.22,1011.0,
mayo,ca,64.65816957877001,64.65816957877001,68.76,53.0,1.0,4.61,1012.0,
yenagoa,ng,2.578148348221788,2.578148348221788,76.12,92.0,100.0,6.55,1008.0,1008.0
barcelos,br,-0.08344968656960816,-0.08344968656960816,54.79,94.0,20.0,3.44,1006.0,
road town,vg,17.20821731592504,17.20821731592504,75.2,83.0,75.0,10.36,1014.0,
itapetinga,br,-15.145904839856655,-15.145904839856655,63.99,97.0,7.0,0.96,1013.0,1013.0
tukrah,ly,34.93117113106301,34.93117113106301,81.25,20.0,91.0,26.06,1010.0,1010.0
strathmore,ca,51.19369500272478,51.19369500272478,39.16,56.0,100.0,9.22,1014.0,1014.0
kargat,ru,55.75737916210491,55.75737916210491,56.95,75.0,100.0,14.65,1001.0,1001.0
tampere,fi,61.90015935061396,61.90015935061396,36.43,55.0,0.0,5.75,1013.0,
quatre cocos,mu,-18.084731948036705,-18.084731948036705,78.39,83.0,75.0,21.85,1019.0,
kununurra,au,-16.12737170441936,-16.12737170441936,95.0,49.0,40.0,10.36,1010.0,
nyurba,ru,67.4683395474629,67.4683395474629,33.51,52.0,72.0,3.58,1022.0,1022.0
belyy yar,ru,60.88198642604786,60.88198642604786,51.8,93.0,40.0,6.71,1012.0,
kemijarvi,fi,67.31476497930186,67.31476497930186,29.91,77.0,80.0,5.35,1011.0,1011.0
deputatskiy,ru,68.78622772199196,68.78622772199196,20.5,79.0,99.0,3.85,1017.0,1017.0
lompoc,us,27.10591546212592,27.10591546212592,48.87,93.0,9.0,8.39,1019.0,
valparaiso,cl,-31.302541279303888,-31.302541279303888,55.0,83.0,4.0,6.29,1022.0,
villa carlos paz,ar,-31.291308815173608,-31.291308815173608,51.4,93.0,0.0,6.91,1019.0,
maraba,br,-5.699222679083121,-5.699222679083121,75.2,98.0,20.0,1.23,1010.0,
matagami,ca,54.31378172096316,54.31378172096316,30.2,69.0,1.0,2.3,1015.0,
el vigia,ve,8.568986541269126,8.568986541269126,75.13,92.0,100.0,2.59,1011.0,1011.0
acapulco,mx,9.297670347370683,9.297670347370683,78.84,75.0,0.0,2.64,1013.0,1013.0
lethem,gy,4.0303671340081735,4.0303671340081735,73.18,91.0,100.0,5.35,1011.0,1011.0
arlington,us,41.921276939578576,41.921276939578576,73.38,78.0,75.0,10.36,1009.0,
ausa,in,18.156180339850266,18.156180339850266,49.91,97.0,99.0,2.17,1007.0,
noshiro,jp,41.73431868787142,41.73431868787142,51.8,87.0,75.0,2.3,1015.0,
ahipara,nz,-35.89606328564919,-35.89606328564919,56.93,65.0,37.0,9.42,1017.0,1017.0
ban nahin,la,18.495860520634295,18.495860520634295,93.83,42.0,93.0,3.51,1011.0,1011.0
bara,sd,13.906928333058502,13.906928333058502,81.99,64.0,73.0,6.69,1008.0,1008.0
severomorsk,ru,68.69709596778512,68.69709596778512,28.4,80.0,75.0,6.71,1008.0,
bourail,nc,-21.662657393173603,-21.662657393173603,71.85,64.0,0.0,10.33,1014.0,1014.0
jawhar,so,2.694807584267778,2.694807584267778,87.71,55.0,51.0,7.07,1012.0,1012.0
hay river,ca,58.99097956799167,58.99097956799167,13.12,52.0,82.0,5.75,1020.0,
artyom,az,41.576271840536805,41.576271840536805,68.0,56.0,0.0,18.41,1014.0,
estevan,ca,49.37171784344093,49.37171784344093,43.57,49.0,40.0,6.91,1012.0,
djougou,bj,9.738909712872655,9.738909712872655,75.2,78.0,0.0,6.91,1012.0,
lucea,jm,18.587352823752155,18.587352823752155,76.48,65.0,20.0,1.14,1013.0,
tecoanapa,mx,14.50945833389035,14.50945833389035,79.59,75.0,7.0,3.2,1012.0,1012.0
soyaux,fr,46.10767512982653,46.10767512982653,52.57,93.0,90.0,6.91,1004.0,
el alto,pe,-2.946895496666869,-2.946895496666869,70.68,73.0,85.0,13.18,1012.0,1012.0
kitimat,ca,53.02803282782202,53.02803282782202,43.0,94.0,100.0,4.09,1015.0,
potosi,bo,-19.491749291917003,-19.491749291917003,36.59,81.0,1.0,3.04,1018.0,1018.0
uttarkashi,in,30.593001246739277,30.593001246739277,87.64,15.0,0.0,6.96,1014.0,1014.0
naifaru,mv,5.007333937560276,5.007333937560276,83.68,73.0,97.0,6.24,1013.0,1013.0
pampierstad,za,-27.568611134214343,-27.568611134214343,63.91,28.0,41.0,6.08,1016.0,1016.0
isla vista,us,33.133267886611264,33.133267886611264,56.95,58.0,1.0,8.05,1016.0,
kiama,au,-37.97187366350518,-37.97187366350518,68.07,69.0,81.0,7.0,1022.0,
williston,us,47.61350452886384,47.61350452886384,51.67,49.0,75.0,4.61,1014.0,
hokitika,nz,-40.83922551812903,-40.83922551812903,51.44,67.0,24.0,4.03,1019.0,1019.0
black forest,us,39.10201324099734,39.10201324099734,35.73,100.0,90.0,21.85,1015.0,
kalmunai,lk,5.580606803068974,5.580606803068974,88.38,60.0,84.0,5.14,1011.0,1011.0
san onofre,co,9.751778229926373,9.751778229926373,76.89,84.0,100.0,9.33,1009.0,1009.0
bangui,cf,4.36818656007587,4.36818656007587,78.8,78.0,20.0,4.61,1008.0,
gat,ly,21.931561353729407,21.931561353729407,68.65,42.0,0.0,3.0,1016.0,
bedele,et,8.156134701031718,8.156134701031718,65.32,73.0,84.0,3.76,1014.0,1014.0
umm lajj,sa,26.027481900921813,26.027481900921813,80.6,50.0,0.0,5.32,1012.0,1012.0
bhasawar,in,26.89212442726125,26.89212442726125,107.04,5.0,0.0,5.26,1008.0,1008.0
blagoyevo,ru,63.422087398359196,63.422087398359196,36.34,79.0,100.0,4.16,1003.0,1003.0
slonim,by,52.79474040702658,52.79474040702658,41.0,75.0,32.0,4.0,1018.0,1018.0
chulym,ru,55.640395535862154,55.640395535862154,59.07,69.0,100.0,16.91,1001.0,1001.0
daru,pg,-9.072356933210926,-9.072356933210926,80.4,84.0,88.0,12.03,1010.0,1010.0
zelenoborskiy,ru,66.79402848312796,66.79402848312796,30.0,100.0,61.0,3.76,987.0,
ambulu,id,-8.696367755606559,-8.696367755606559,84.43,58.0,21.0,7.92,1011.0,1011.0
wattegama,lk,4.8575443622264345,4.8575443622264345,91.4,70.0,75.0,8.05,1011.0,
achinsk,ru,56.305811545962484,56.305811545962484,48.25,81.0,100.0,12.93,1010.0,1010.0
lixourion,gr,37.21372192437545,37.21372192437545,68.52,77.0,40.0,11.5,1009.0,
palauig,ph,14.575305511658286,14.575305511658286,83.01,71.0,92.0,6.87,1012.0,1012.0
jinji,cn,23.31878102200153,23.31878102200153,69.93,89.0,100.0,5.66,1016.0,1016.0
havelock,us,32.90292356992708,32.90292356992708,65.91,82.0,1.0,10.36,1021.0,
redlands,us,39.656661527196036,39.656661527196036,50.07,62.0,1.0,1.34,1017.0,
itau de minas,br,-20.472527621878612,-20.472527621878612,59.63,85.0,0.0,1.74,1014.0,1014.0
komsomolskiy,ru,71.58628697139196,71.58628697139196,84.2,18.0,0.0,4.61,1016.0,
jiangkou,cn,25.124634168545143,25.124634168545143,68.0,88.0,90.0,6.71,1015.0,
mirnyy,ru,58.763623779591484,58.763623779591484,32.86,55.0,68.0,3.76,1023.0,1023.0
chumikan,ru,56.07709904385791,56.07709904385791,31.21,92.0,100.0,18.54,1012.0,1012.0
yulara,au,-27.415777454073265,-27.415777454073265,78.8,18.0,0.0,11.5,1020.0,
opuwo,na,-19.70665854467819,-19.70665854467819,66.34,51.0,8.0,1.21,1013.0,1013.0
springfield,us,36.90488492578743,36.90488492578743,66.18,88.0,1.0,6.91,1012.0,
venancio aires,br,-29.3447375546556,-29.3447375546556,46.06,90.0,0.0,2.08,1018.0,
svetlyy,ru,49.74878701646753,49.74878701646753,41.0,81.0,40.0,4.47,1016.0,
voloshka,ru,61.09911236382058,61.09911236382058,34.14,88.0,100.0,5.37,1006.0,1006.0
vila,vu,-15.115956354060799,-15.115956354060799,50.0,93.0,83.0,8.99,1006.0,
boyabat,tr,41.834718190886235,41.834718190886235,57.2,67.0,0.0,4.61,1016.0,
smithers,ca,54.6767457236769,54.6767457236769,41.0,93.0,90.0,3.31,1012.0,
illapel,cl,-31.796280718884766,-31.796280718884766,62.4,75.0,0.0,1.45,1016.0,1016.0
mitzic,ga,0.793977460394629,0.793977460394629,69.89,98.0,100.0,2.64,1011.0,1011.0
high level,ca,59.20628245705993,59.20628245705993,14.0,79.0,1.0,2.08,1020.0,
yining,cn,42.70246038429343,42.70246038429343,66.04,85.0,100.0,2.08,1019.0,1019.0
hendaye,fr,43.88231999373707,43.88231999373707,55.58,77.0,40.0,6.91,1007.0,
tual,id,-8.625056146548545,-8.625056146548545,83.7,65.0,49.0,4.36,1009.0,1009.0
caibarien,cu,23.87979771328871,23.87979771328871,71.6,83.0,20.0,2.3,1016.0,
vao,nc,-25.609377919011052,-25.609377919011052,73.78,57.0,0.0,17.54,1014.0,1014.0
waipawa,nz,-44.87413408054946,-44.87413408054946,51.49,71.0,53.0,5.75,1017.0,
abrau-dyurso,ru,44.19861972362523,44.19861972362523,55.2,76.0,75.0,6.71,1017.0,
tabou,ci,-0.49424889599836774,-0.49424889599836774,78.42,87.0,100.0,3.74,1009.0,1009.0
nowy targ,pl,49.61610041799136,49.61610041799136,39.49,56.0,0.0,1.14,1012.0,
monrovia,lr,0.31787837947567255,0.31787837947567255,73.4,94.0,40.0,6.4,1009.0,
venice,us,26.432371749208244,26.432371749208244,69.49,73.0,90.0,6.91,1019.0,
kitakata,jp,37.37485232454061,37.37485232454061,71.31,48.0,40.0,9.22,1017.0,
rio grande,br,-35.224774212834625,-35.224774212834625,46.99,97.0,20.0,10.87,1017.0,
leshan,cn,29.931273501972157,29.931273501972157,59.7,88.0,100.0,1.48,1023.0,1023.0
belgrade,us,46.67167342685522,46.67167342685522,50.18,93.0,75.0,5.75,1011.0,
mporokoso,zm,-8.932284279429894,-8.932284279429894,66.42,82.0,36.0,7.43,1014.0,1014.0
mizdah,ly,29.99260783752402,29.99260783752402,80.82,20.0,97.0,6.89,1008.0,1008.0
sfantu gheorghe,ro,44.284674473357285,44.284674473357285,38.5,89.0,100.0,8.01,979.0,
san patricio,mx,6.255300661904798,6.255300661904798,75.74,94.0,75.0,14.97,1009.0,
sola,vu,-10.400001371629855,-10.400001371629855,82.4,78.0,20.0,14.25,1008.0,
kambove,cd,-11.125330902781371,-11.125330902781371,64.11,87.0,88.0,5.06,1015.0,1015.0
port lincoln,au,-44.099917271247094,-44.099917271247094,71.04,43.0,42.0,4.03,1023.0,1023.0
ofaqim,il,30.924364819429343,30.924364819429343,68.0,42.0,0.0,3.0,1016.0,
namibe,ao,-15.926343028250116,-15.926343028250116,76.03,66.0,46.0,5.82,1009.0,1009.0
ternate,id,3.901038464322525,3.901038464322525,85.12,69.0,11.0,6.22,1010.0,1010.0
mosquera,co,3.4987808049671543,3.4987808049671543,53.6,100.0,75.0,3.44,1027.0,
puerto del rosario,es,24.782408526987822,24.782408526987822,62.6,77.0,20.0,5.75,1012.0,
yangliuqing,cn,38.83901226569398,38.83901226569398,71.6,16.0,0.0,13.42,1012.0,
lumberton,us,30.800064452562268,30.800064452562268,64.83,82.0,1.0,9.22,1021.0,
palora,ec,-1.963293495732401,-1.963293495732401,64.13,99.0,100.0,1.03,1016.0,1016.0
frankfort,us,41.44006175016443,41.44006175016443,59.68,36.0,42.0,2.64,1019.0,1019.0
manaskent,ru,42.840713880421504,42.840713880421504,56.1,82.0,20.0,2.24,1017.0,
nuuk,gl,66.01437453070676,66.01437453070676,32.0,100.0,42.0,14.97,1031.0,
galle,lk,4.109197303956407,4.109197303956407,86.18,67.0,68.0,8.52,1012.0,1012.0
amos,ca,48.43771994162083,48.43771994162083,34.65,56.0,1.0,3.44,1014.0,
nelson bay,au,-37.23104980445002,-37.23104980445002,68.56,64.0,40.0,8.05,1023.0,
khor,qa,27.05243010821475,27.05243010821475,47.86,86.0,100.0,11.34,1001.0,1001.0
manali,in,33.201757961390015,33.201757961390015,93.92,43.0,20.0,4.61,1009.0,
jeannette,us,40.35511942803677,40.35511942803677,62.89,59.0,20.0,4.61,1014.0,
emmett,us,43.8650790571603,43.8650790571603,47.14,51.0,19.0,5.01,1019.0,
bocas del toro,pa,9.711817550314592,9.711817550314592,78.8,72.0,90.0,2.73,1013.0,1013.0
shiyan,cn,32.52337878434754,32.52337878434754,73.65,33.0,100.0,9.53,1020.0,1020.0
ambanja,mg,-13.940012993957922,-13.940012993957922,87.8,71.0,75.0,2.3,1013.0,
zemio,cf,5.725691550710138,5.725691550710138,76.71,72.0,95.0,3.04,1010.0,1010.0
saint-francois,gp,19.709433706131193,19.709433706131193,51.93,87.0,100.0,2.19,1004.0,
frontera,mx,19.173374651550304,19.173374651550304,79.54,47.0,69.0,4.61,1006.0,1006.0
oyama,jp,31.681610488695455,31.681610488695455,72.52,49.0,75.0,10.36,1016.0,
tolentino,it,43.081336196363395,43.081336196363395,50.32,97.0,98.0,1.25,1008.0,
kruisfontein,za,-57.661502003925676,-57.661502003925676,55.99,93.0,100.0,3.56,1016.0,
impfondo,cg,2.592722713370918,2.592722713370918,72.27,96.0,100.0,2.93,1010.0,1010.0
meulaboh,id,0.8138004308019049,0.8138004308019049,85.66,70.0,99.0,6.76,1011.0,1011.0
manokwari,id,-0.9517172131198066,-0.9517172131198066,83.01,72.0,31.0,3.42,1010.0,1010.0
